circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.5500,0.0000,0.5500
default,mask_default,c,0.3500,0.0000,0.3500
default,mask_default,e,0.5000,0.0000,0.5000
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,0.3000,0.0000,0.3000
work,mask_work,o,0.5500,-0.4260,0.1240
work,mask_work,c,0.3500,0.0498,0.3998
work,mask_work,e,0.5000,-0.5000,0.0000
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,0.3000,-0.3157,0.0000
home,mask_home,o,0.5500,-0.3670,0.1830
home,mask_home,c,0.3500,-0.3173,0.0327
home,mask_home,e,0.5000,-0.3045,0.1955
home,mask_home,a,0.7500,-0.5000,0.2500
home,mask_home,n,0.3000,-0.3504,0.0000
conference,mask_conference,o,0.5500,-0.2713,0.2787
conference,mask_conference,c,0.3500,-0.1524,0.1976
conference,mask_conference,e,0.5000,-0.3602,0.1398
conference,mask_conference,a,0.7500,-0.5000,0.2500
conference,mask_conference,n,0.3000,-0.3841,0.0000
