circumstance,mask,trait,core,mask_offset,effective
default,mask_default,o,0.4000,0.0000,0.4000
default,mask_default,c,-0.3500,0.0000,-0.3500
default,mask_default,e,0.2500,0.0000,0.2500
default,mask_default,a,0.7500,0.0000,0.7500
default,mask_default,n,-0.6000,0.0000,-0.6000
work,mask_work,o,0.4000,0.4990,0.8990
work,mask_work,c,-0.3500,0.5000,0.1500
work,mask_work,e,0.2500,-0.5000,-0.2500
work,mask_work,a,0.7500,-0.5000,0.2500
work,mask_work,n,-0.6000,-0.5000,-1.0000
home,mask_home,o,0.4000,-0.4998,-0.0998
home,mask_home,c,-0.3500,-0.1391,-0.4891
home,mask_home,e,0.2500,-0.5000,-0.2500
home,mask_home,a,0.7500,-0.4919,0.2581
home,mask_home,n,-0.6000,0.1928,-0.4072
conference,mask_conference,o,0.4000,0.3777,0.7777
conference,mask_conference,c,-0.3500,-0.2715,-0.6215
conference,mask_conference,e,0.2500,0.5000,0.7500
conference,mask_conference,a,0.7500,0.5000,1.0000
conference,mask_conference,n,-0.6000,-0.3710,-0.9710
